restaurant_name,area,parking_id,hour,day_of_week,is_weekend,occupied_slots,total_slots,occupancy_rate,is_peak_hour
RS Shiv Sagar,banashankari,2346,17,6,1,50,252,0.198412698,1
Saladtimes,malleshwaram,319,6,6,1,175,244,0.717213115,0
Star Biryani & Kebab Centre,rajajinagar,1644,11,5,1,160,220,0.727272727,0
TBC - The Breakfast Company,brookefield,1636,3,5,1,135,257,0.525291829,0
Dolphin Bar,frazer town,1339,18,6,1,62,144,0.430555556,1
Amber Rush Restobar,brigade road,2088,23,2,0,16,64,0.25,0
Rolls On Wheel,"byresandra,tavarekere,madiwala",419,10,3,0,229,250,0.916,1
Mothers Recipe Restaurant,frazer town,1648,15,5,1,191,206,0.927184466,0
Agraharaa,koramangala 4th block,150,5,6,1,153,162,0.944444444,0
Bhagini,marathahalli,2420,19,2,0,91,169,0.538461538,1
Pipabu,koramangala 7th block,2405,4,2,0,88,162,0.543209877,0
Wat-a-Burger!,jayanagar,688,15,0,0,120,169,0.710059172,0
Tea Villa Cafe,jayanagar,2145,8,5,1,121,145,0.834482759,1
C R Mangalore Bakery,bellandur,1326,5,6,1,229,283,0.809187279,0
Kabab Palace,kalyan nagar,2633,16,4,0,134,155,0.864516129,0
RBP Greens Garden,bannerghatta road,2779,18,3,0,43,72,0.597222222,1
Kullukki,koramangala 7th block,2080,15,2,0,39,248,0.157258065,0
The Globe Grub,"byresandra,tavarekere,madiwala",1085,4,3,0,127,246,0.516260163,0
Absolute Waffles,malleshwaram,1108,3,4,0,22,258,0.085271318,0
Feast - Sheraton Grand Bangalore Hotel at Brigade...,malleshwaram,1587,2,3,0,66,190,0.347368421,0
Vijayalakshmi,banashankari,1686,5,0,0,177,266,0.665413534,0
Tasty Funda,electronic city,2621,4,4,0,130,161,0.807453416,0
Indian Food,brookefield,1474,9,5,1,72,267,0.269662921,1
Chai Galli,marathahalli,522,17,0,0,23,203,0.113300493,1
New Udupi Fresh Juice Centre,indiranagar,465,8,5,1,206,240,0.858333333,1
Desi Doze,brookefield,2686,21,6,1,47,281,0.167259786,0
Lucky Singh & Co,whitefield,2396,19,1,0,91,240,0.379166667,1
The Irish House,bellandur,2736,23,1,0,170,236,0.720338983,0
JW Kitchen - JW Marriott Bengaluru,brigade road,737,16,2,0,41,254,0.161417323,0
Pecos Classic,brigade road,1549,12,1,0,160,257,0.622568093,0
Indigo XP,koramangala 4th block,2442,17,3,0,61,253,0.241106719,1
Sultan Shah's Restaurant,brigade road,1451,10,4,0,76,211,0.360189573,1
Black Kitchen,"byresandra,tavarekere,madiwala",774,5,4,0,190,221,0.859728507,0
Khichadiwala,"byresandra,tavarekere,madiwala",450,17,4,0,39,100,0.39,1
Food Zone,brookefield,1424,7,3,0,27,150,0.18,1
Hotel Narmada Andhra Style,sarjapur road,2580,11,2,0,163,187,0.871657754,0
Karigiri Refreshments,malleshwaram,450,17,4,0,39,100,0.39,1
Ayodhya Food Line,rajajinagar,151,6,6,1,193,239,0.807531381,0
Dambal's Veg,malleshwaram,2148,11,5,1,26,284,0.091549296,0
Zephyr,banashankari,1698,17,0,0,78,149,0.523489933,1
Tea Journey,mg road,1734,5,2,0,61,176,0.346590909,0
Saha Chowmein,new bel road,1599,14,3,0,126,297,0.424242424,0
Chettinad Food House,"byresandra,tavarekere,madiwala",855,14,0,0,139,282,0.492907801,0
Suvaai Restaurant,indiranagar,1574,13,2,0,56,99,0.565656566,0
Smoke-A-Pot,"byresandra,tavarekere,madiwala",430,21,3,0,12,289,0.041522491,0
Star Briyani,electronic city,2192,7,0,0,180,193,0.932642487,1
Ali Snacks Point,malleshwaram,2645,4,5,1,62,217,0.285714286,0
Tandoor Da Funda,brigade road,252,11,3,0,201,251,0.800796813,0
Chick Inn,malleshwaram,2005,12,6,1,78,239,0.326359833,0
Durbar Greens Family Restaurant,"byresandra,tavarekere,madiwala",2064,23,1,0,22,103,0.213592233,0
Opt For Fitness,kalyan nagar,1730,1,2,0,21,227,0.092511013,0
Al Madina Family Restaurant,basavanagudi,1363,18,0,0,156,245,0.636734694,1
Firewood Biryani,brigade road,1121,16,4,0,119,148,0.804054054,0
Tawa Sagara,jayanagar,716,19,1,0,43,123,0.349593496,1
Toast & Tonic,brigade road,1875,2,1,0,205,251,0.816733068,0
The Lantern Restaurant & Bar - The Ritz-Carlton...,lavelle road,771,2,4,0,74,218,0.339449541,0
Soundarya Military Hotel,malleshwaram,1997,4,6,1,94,175,0.537142857,0
Flavours24,marathahalli,27,2,1,0,137,269,0.50929368,0
Chaitanya Veg,brigade road,2617,0,4,0,107,287,0.3728223,0
Hotel Rangoon,brigade road,2442,17,3,0,61,253,0.241106719,1
Malties - Radisson Blu,marathahalli,1246,21,2,0,195,203,0.960591133,0
Cake 24x7,brookefield,186,17,0,0,184,287,0.641114983,1
Hyderabadi Zaiqa,bellandur,2782,21,3,0,27,57,0.473684211,0
Choice of Food,whitefield,87,14,3,0,148,281,0.526690391,0
Olive - Era,banashankari,2252,19,2,0,78,271,0.287822878,1
Chaat Express,sarjapur road,1021,12,0,0,28,124,0.225806452,0
Oakleaf,brookefield,1364,19,0,0,76,269,0.282527881,1
Swing,indiranagar,2140,3,5,1,51,165,0.309090909,0
The Open Cafe,"byresandra,tavarekere,madiwala",2421,20,2,0,233,264,0.882575758,1
Priya's Punjabi,brigade road,981,20,5,1,63,277,0.227436823,1
Sree Banashankari Donne Biriyani,rajajinagar,771,2,4,0,74,218,0.339449541,0
Kaulige Millet Corner,basavanagudi,1549,12,1,0,160,257,0.622568093,0
Tandoori Club,bellandur,2561,16,1,0,57,180,0.316666667,0
Chikkanna Tiffin Room,malleshwaram,462,5,5,1,135,292,0.462328767,0
Snow'ora,kalyan nagar,2359,6,0,0,130,149,0.872483221,0
Star Briyani,electronic city,707,10,1,0,96,106,0.905660377,1
Arya Bhavan Sweets,brigade road,109,12,4,0,77,211,0.36492891,0
Breakstation,old airport road,1960,15,4,0,107,134,0.798507463,0
Prakruthi Restaurant,"byresandra,tavarekere,madiwala",1719,14,1,0,18,155,0.116129032,0
Punjabi Twist,brookefield,147,2,6,1,164,279,0.58781362,0
Blueberry Restaurant,sarjapur road,2631,14,4,0,15,106,0.141509434,0
Sambram Biriyani Paradise,bannerghatta road,1259,10,3,0,155,194,0.798969072,1
Rajdhani Special Chole Bhature,jp nagar,2688,23,6,1,60,158,0.379746835,0
Gobi Corner,rajajinagar,2363,10,0,0,77,284,0.271126761,1
Nizaam's Kaati Rolls & Kebabs,indiranagar,1067,10,2,0,47,54,0.87037037,1
Ragoo's Kitchen,malleshwaram,1712,7,1,0,104,132,0.787878788,1
Ruchi Maayaka,banashankari,899,10,2,0,27,62,0.435483871,1
Bisimillah Biriyani's & Kebab's,"byresandra,tavarekere,madiwala",1970,1,5,1,100,207,0.483091787,0
Chote Miya,frazer town,1185,8,0,0,190,219,0.867579909,1
Fritz Haber,"byresandra,tavarekere,madiwala",723,2,2,0,77,209,0.368421053,0
Bricklane,indiranagar,362,1,1,0,29,188,0.154255319,0
Mimansa @ Foxtrot,hsr,430,21,3,0,12,289,0.041522491,0
Saarangi Express,basavanagudi,2240,7,2,0,88,162,0.543209877,1
Kinara Family Restaurant,electronic city,116,19,4,0,22,215,0.102325581,1
Vaishali Deluxe,banashankari,1952,7,4,0,10,165,0.060606061,1
Vasanth Vihar - Since 1965,banashankari,1261,12,3,0,110,147,0.74829932,0
Flavors of North,malleshwaram,656,7,6,1,73,222,0.328828829,1
The Punjabi Bites,indiranagar,1608,23,3,0,143,185,0.772972973,0
Halli Jonne Biriyani,basavanagudi,396,11,2,0,70,268,0.26119403,0
Shivajinagar Gardi Ustad Pehlwan Kale Bhai Biryani,brigade road,2192,7,0,0,180,193,0.932642487,1
MumÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs Kitchen,marathahalli,2009,16,6,1,25,123,0.203252033,0
Sri Datta Biryani House,kalyan nagar,2393,16,1,0,166,232,0.715517241,0
Juicy Hut,bannerghatta road,1095,14,3,0,163,190,0.857894737,0
The Himalayan,"byresandra,tavarekere,madiwala",2776,15,3,0,74,291,0.254295533,0
The Mirchi,electronic city,1448,7,4,0,55,175,0.314285714,1
Tea Break Lounge,brigade road,441,8,4,0,80,102,0.784313725,1
Maria Taste Circle,brookefield,1775,22,3,0,93,110,0.845454545,0
Milkyway Ice Creams & Fast Food,brookefield,1062,5,2,0,20,223,0.089686099,0
Saara's Grill n Spice - SS Lumina Hotel,"byresandra,tavarekere,madiwala",1879,6,1,0,246,248,0.991935484,0
Punjabi Tandoor,marathahalli,2724,11,1,0,135,215,0.627906977,0
Coastal Delight,brigade road,2230,21,1,0,220,267,0.823970037,0
Sharma Ji Chaats And Desi khana,basavanagudi,404,19,2,0,41,294,0.139455782,1
Just Fresh Point,electronic city,1519,6,0,0,107,253,0.422924901,0
The Early bell,brookefield,1951,6,4,0,22,95,0.231578947,0
Aditya Sweets,brookefield,1249,0,3,0,99,165,0.6,0
Melting Pot at Woodrose,bannerghatta road,451,18,4,0,211,299,0.705685619,1
Raapchick,brookefield,1153,0,6,1,88,129,0.682170543,0
Sweet Revenge Bake N Cafe,electronic city,2437,12,3,0,58,120,0.483333333,0
Swad Punjabi Dhaba,marathahalli,2403,2,2,0,18,181,0.099447514,0
Juice Fresco,kalyan nagar,305,16,5,1,31,213,0.145539906,0
YumYumDilli,sarjapur road,2178,17,6,1,190,260,0.730769231,1
Hyderabad Cuisine,brookefield,1659,2,6,1,155,276,0.561594203,0
Delicacy,marathahalli,965,4,5,1,104,202,0.514851485,0
Cold Fusion,brookefield,116,19,4,0,22,215,0.102325581,1
Indy's Comfort Food,brigade road,232,15,2,0,56,213,0.262910798,0
Swing,indiranagar,2506,9,6,1,158,288,0.548611111,1
Kavya Sagar,brigade road,2752,15,2,0,96,280,0.342857143,0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© S,koramangala 4th block,141,20,5,1,225,286,0.786713287,1
Great Indian Rolls,basavanagudi,1275,2,4,0,38,164,0.231707317,0
La Boulangerie - Le Meridien,lavelle road,314,1,6,1,179,237,0.755274262,0
Toast And Salad,new bel road,1488,23,5,1,23,127,0.181102362,0
Priya's Punjabi,brigade road,1766,13,3,0,115,274,0.419708029,0
Village Restaurant,brookefield,2214,5,1,0,19,153,0.124183007,0
Ayodhya Food Line,rajajinagar,718,21,1,0,51,277,0.184115523,0
Muthashy's,"byresandra,tavarekere,madiwala",171,2,0,0,76,86,0.88372093,0
Nisarga Restaurant,lavelle road,2313,8,5,1,50,57,0.877192982,1
Just Eat,indiranagar,609,8,4,0,128,163,0.785276074,1
The Kick-Ass Company Pub & Diner,marathahalli,719,22,1,0,146,249,0.586345382,0
Dine @ 9 Paratha Corner,old airport road,1994,1,6,1,195,196,0.994897959,0
New Punjabi Pure Veg Restaurant,new bel road,282,17,4,0,209,212,0.985849057,1
Tea Brew,indiranagar,2239,6,2,0,144,273,0.527472527,0
Venus Bake Point,indiranagar,241,0,3,0,113,274,0.412408759,0
Harbour 4,sarjapur road,433,0,4,0,24,118,0.203389831,0
Rooftop Cafe,basavanagudi,479,22,5,1,24,263,0.091254753,0
Star Ambur Dum Biryani,electronic city,2357,4,0,0,139,226,0.615044248,0
One Chu Restaurant,indiranagar,2532,11,0,0,87,280,0.310714286,0
Kanhaiyas,jp nagar,1396,3,2,0,10,103,0.097087379,0
Cheesy Juicy Burgers,hsr,2189,4,0,0,109,206,0.529126214,0
Tango,rajajinagar,1594,9,3,0,86,264,0.325757576,1
Ovenstory Pizza,brigade road,2179,18,6,1,25,241,0.10373444,1
Fattoush,"byresandra,tavarekere,madiwala",2066,1,2,0,27,122,0.221311475,0
Happy Fillings,brigade road,2169,8,6,1,94,222,0.423423423,1
Waah Chef,old airport road,1441,0,4,0,146,172,0.848837209,0
Dr. Harry's Chick Blast,kalyan nagar,951,14,4,0,119,295,0.403389831,0
Amanthrana Gardenia,brookefield,514,9,0,0,20,218,0.091743119,1
Puff Cafe,malleshwaram,550,21,1,0,103,131,0.786259542,0
Chicken County,lavelle road,794,1,5,1,36,132,0.272727273,0
Ideal Kitchen,brigade road,1084,3,3,0,61,95,0.642105263,0
Ministry of Food - Hilton Bangalore Embassy GolfLinks,koramangala 4th block,711,14,1,0,31,130,0.238461538,0
Asgardian Moreover Chai,"byresandra,tavarekere,madiwala",501,20,6,1,90,222,0.405405405,1
Ober Cafe,"byresandra,tavarekere,madiwala",1652,19,5,1,156,268,0.582089552,1
Ambur Biryani Hotel,"byresandra,tavarekere,madiwala",1428,11,3,0,87,240,0.3625,0
The Parotta Master,indiranagar,1263,14,3,0,179,286,0.625874126,0
Kebarbiq,koramangala 4th block,2103,14,3,0,18,71,0.253521127,0
Hangout Cafe,kalyan nagar,1117,12,4,0,84,119,0.705882353,0
Aathurar,indiranagar,1463,22,4,0,34,112,0.303571429,0
Delice - Novotel,bellandur,2357,4,0,0,139,226,0.615044248,0
Sweet Truth,basavanagudi,2674,9,6,1,47,298,0.157718121,1
Go Gharelu,marathahalli,2576,7,2,0,140,142,0.985915493,1
ReFresh Juice Junction,"byresandra,tavarekere,madiwala",2202,17,0,0,88,294,0.299319728,1
Straight From The Heart,koramangala 4th block,1970,1,5,1,100,207,0.483091787,0
Mani's Dum Biryani,kalyan nagar,1116,11,4,0,13,285,0.045614035,0
Strawbees,marathahalli,165,20,6,1,35,156,0.224358974,1
The Big Spoon,brookefield,2120,7,4,0,33,295,0.111864407,1
Chime - Sheraton Grand Bengaluru Whitefield Hotel &...,whitefield,1156,3,6,1,188,296,0.635135135,0
The Lighthouse Cafe,whitefield,2261,4,3,0,128,149,0.859060403,0
Layla - The Den Bengaluru,whitefield,586,9,3,0,15,142,0.105633803,1
Hungry Travellers Cafe,koramangala 4th block,1080,23,2,0,108,273,0.395604396,0
Crave Bite,"byresandra,tavarekere,madiwala",782,13,4,0,28,156,0.179487179,0
The Tiny Taproom,indiranagar,1216,15,1,0,108,138,0.782608696,0
House Of Wholewheat,"byresandra,tavarekere,madiwala",965,4,5,1,104,202,0.514851485,0
Hotel Nalapaka,malleshwaram,1983,14,5,1,31,211,0.146919431,0
Go Gharelu,marathahalli,2046,5,1,0,41,152,0.269736842,0
New Surya Sweets & Snacks,"byresandra,tavarekere,madiwala",211,18,1,0,222,299,0.742474916,1
Dilli Dil Se,brookefield,2663,22,5,1,59,131,0.450381679,0
Rosewood International Hotel - Bar & Restaurant,banashankari,804,11,5,1,93,264,0.352272727,0
Rafoo Chakkar,brookefield,2161,0,6,1,66,202,0.326732673,0
Baker's Home,sarjapur road,2162,1,6,1,181,213,0.849765258,0
Patio 805,jayanagar,1660,3,6,1,43,160,0.26875,0
Ambur Tasty Biriyani,hsr,2013,20,6,1,241,242,0.995867769,1
Rasa Cafe,kammanahalli,1832,7,6,1,38,237,0.160337553,1
The Chameleon,electronic city,1084,3,3,0,61,95,0.642105263,0
CHAATter Box,jp nagar,1753,0,3,0,40,227,0.176211454,0
Skandas Veg Restaurant,brookefield,588,11,3,0,117,220,0.531818182,0
Dhanbad Food Stall,malleshwaram,1364,19,0,0,76,269,0.282527881,1
Siddiqu Kabab Center,lavelle road,816,23,5,1,114,262,0.435114504,0
Spice Cove - I.V Sanctum,lavelle road,1787,10,4,0,137,187,0.732620321,1
Dilli6 Paratha,hsr,988,3,6,1,108,274,0.394160584,0
Wood Castle,sarjapur road,273,8,4,0,39,215,0.181395349,1
Step Right Up,brigade road,2027,10,0,0,192,226,0.849557522,1
Steaming Mugs,banashankari,807,14,5,1,34,210,0.161904762,0
Five Senses,bellandur,2154,17,5,1,119,208,0.572115385,1
Grill Biryanis,rajajinagar,1016,7,0,0,118,182,0.648351648,1
Artinci Artisanal Ice Cream,bannerghatta road,462,5,5,1,135,292,0.462328767,0
The IT Crowd,brookefield,185,16,0,0,35,60,0.583333333,0
Odissi Restaurant,"byresandra,tavarekere,madiwala",2685,20,6,1,60,111,0.540540541,1
Anna Kuteera,residency road,1132,3,5,1,120,138,0.869565217,0
Breezy Cow Bar,marathahalli,1485,20,5,1,62,165,0.375757576,1
Hunger Swipe Restaurant,hsr,199,6,1,0,138,249,0.554216867,0
Juicy,indiranagar,1872,23,0,0,200,206,0.970873786,0
FoodIshq,indiranagar,162,17,6,1,127,241,0.526970954,1
Xian,brigade road,2239,6,2,0,144,273,0.527472527,0
Yi Moi Chinese Fast Food,kammanahalli,618,17,4,0,72,114,0.631578947,1
TeamDelish,electronic city,1132,3,5,1,120,138,0.869565217,0
White Oak Cafe,kalyan nagar,1732,3,2,0,83,293,0.283276451,0
Chatori Gali,bannerghatta road,1468,3,5,1,91,158,0.575949367,0
20 Feet High,brigade road,1973,4,5,1,218,284,0.767605634,0
Coffee Thindi,kalyan nagar,889,0,2,0,89,198,0.449494949,0
Durga Sagar,basavanagudi,1280,7,4,0,24,96,0.25,1
Mr. Singh Da Dhaba,banashankari,399,14,2,0,80,99,0.808080808,0
Brahma Brews,bannerghatta road,37,12,1,0,53,232,0.228448276,0
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,jayanagar,50,1,2,0,145,262,0.553435115,0
The J,indiranagar,21,20,0,0,189,236,0.800847458,1
The CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© @ Saanchi,lavelle road,1452,11,4,0,163,218,0.747706422,0
People Tree Cafe,jayanagar,2183,22,6,1,63,120,0.525,0
Lassi Mania,electronic city,2671,6,6,1,138,260,0.530769231,0
Sri Shakti Sweets,malleshwaram,2645,4,5,1,62,217,0.285714286,0
Sakae Japanese Restaurant,brigade road,125,4,5,1,92,267,0.344569288,0
Dakshin Cafe,banashankari,180,11,0,0,172,232,0.74137931,0
The Cake Mart,indiranagar,472,15,5,1,13,188,0.069148936,0
Zero Kelvin,"byresandra,tavarekere,madiwala",2728,15,1,0,73,111,0.657657658,0
VRS Food Zone,indiranagar,593,16,3,0,51,113,0.451327434,0
The Vintage Cafe,banashankari,1452,11,4,0,163,218,0.747706422,0
Waffle Square,brookefield,1719,14,1,0,18,155,0.116129032,0
Talk Ease,brigade road,2258,1,3,0,89,159,0.559748428,0
Grab n Go - Aloft Hotel,whitefield,1206,5,1,0,132,277,0.476534296,0
Sannidhi Grand,rajajinagar,2080,15,2,0,39,248,0.157258065,0
Kamat Swaad,bannerghatta road,2510,13,6,1,177,230,0.769565217,0
Tandoor Bhatti,kalyan nagar,2523,2,0,0,29,106,0.273584906,0
Vegetarea,electronic city,1208,7,1,0,36,231,0.155844156,1
Bread and Circus,lavelle road,1257,8,3,0,28,171,0.16374269,1
Gramin,"byresandra,tavarekere,madiwala",1018,9,0,0,82,145,0.565517241,1
Rajvardhan Foods,basavanagudi,1007,22,6,1,170,173,0.98265896,0
Kerala Tiffin,brookefield,2106,17,3,0,51,288,0.177083333,1
RICE BAR,brookefield,800,7,5,1,139,228,0.609649123,1
Swing,indiranagar,1071,14,2,0,201,252,0.797619048,0
Karachi Bakery,church street,2154,17,5,1,119,208,0.572115385,1
Swadist Restaurant,marathahalli,2362,9,0,0,146,256,0.5703125,1
Dindigul Thalappakatti,brigade road,883,18,1,0,45,67,0.671641791,1
Tea Villa Cafe,jayanagar,1040,7,1,0,209,254,0.822834646,1
Royal Chowpatty,electronic city,753,8,3,0,116,253,0.458498024,1
Hungry Darjeeling Chinese and Thai,indiranagar,1353,8,0,0,101,152,0.664473684,1
Sardar Tikka Singh,brookefield,2639,22,4,0,149,190,0.784210526,0
Twist N Roll,new bel road,2096,7,3,0,61,195,0.312820513,1
Park N Eat,bellandur,2420,19,2,0,91,169,0.538461538,1
Samprith Gowdru Mudde Hotel,kalyan nagar,617,16,4,0,26,116,0.224137931,0
Amrit,"byresandra,tavarekere,madiwala",849,8,0,0,74,255,0.290196078,1
Garage Food Company,"byresandra,tavarekere,madiwala",1676,19,6,1,39,282,0.138297872,1
Fatty Chang,kalyan nagar,1224,23,1,0,57,143,0.398601399,0
Enroute,hsr,2220,11,1,0,79,179,0.441340782,0
Flavors of North,malleshwaram,2049,8,1,0,115,290,0.396551724,1
Amma's Pastries,kalyan nagar,900,11,2,0,47,106,0.443396226,0
Crazy Pizza,rajajinagar,2474,1,5,1,52,86,0.604651163,0
Race Course Restaurant,malleshwaram,1078,21,2,0,229,275,0.832727273,0
Baba Bhature,marathahalli,334,21,6,1,87,173,0.502890173,0
#L-81 Cafe,"byresandra,tavarekere,madiwala",1368,23,0,0,93,213,0.436619718,0
Kollapuri's,jayanagar,2712,23,0,0,189,269,0.70260223,0
Rangla Punjab,bellandur,966,5,5,1,31,82,0.37804878,0
The Momo Farm,new bel road,357,20,0,0,171,220,0.777272727,1
Galaxy 2 Restaurant,brigade road,350,13,0,0,15,68,0.220588235,0
Sri Durga Chats and Juice,rajajinagar,1204,3,1,0,45,222,0.202702703,0
Anda Ka Funda,jp nagar,1390,21,1,0,178,277,0.642599278,0
Kitchen's Sea Food Restaurant,koramangala 4th block,996,11,6,1,120,181,0.662983425,0
Yuan Restaurant,kammanahalli,15,14,0,0,90,138,0.652173913,0
A1 Ambur Dum Biryani And Parota Centre,rajajinagar,1300,3,5,1,131,196,0.668367347,0
Fish Corner,malleshwaram,2517,20,6,1,32,86,0.372093023,1
Om Nom Thai,hsr,971,10,5,1,98,106,0.924528302,1
Soul Curry Restaurant,electronic city,42,17,1,0,18,225,0.08,1
Amantrana,rajajinagar,475,18,5,1,15,66,0.227272727,1
Chulha Chauki Da Dhaba,brookefield,2105,16,3,0,85,253,0.335968379,0
Tawa Sagara,jayanagar,1872,23,0,0,200,206,0.970873786,0
Dinemaster Gogo's,hsr,876,11,1,0,151,286,0.527972028,0
"R Bar - Renaissance Hotel, Bengaluru",malleshwaram,1704,23,0,0,11,242,0.045454545,0
Malabar Cafe,bannerghatta road,300,11,5,1,61,77,0.792207792,0
Hotel Fanoos,brigade road,579,2,3,0,84,238,0.352941176,0
Desi Flavours,"byresandra,tavarekere,madiwala",171,2,0,0,76,86,0.88372093,0
Kitchen Rabbit,brookefield,2006,13,6,1,78,274,0.284671533,0
Smoke Oil Salt,bannerghatta road,548,19,1,0,247,255,0.968627451,1
Rayalaseema Ruchulu SR,electronic city,1178,1,0,0,59,186,0.317204301,0
Zodiac Grills,hsr,2286,5,4,0,70,71,0.985915493,0
Cafe Hops,bannerghatta road,1926,5,3,0,91,158,0.575949367,0
Yummy Punjabi Delight,bellandur,2522,1,0,0,93,168,0.553571429,0
VSV Chettinad,marathahalli,1167,14,6,1,16,220,0.072727273,0
Bowl'd over Rice,old airport road,1530,17,0,0,25,51,0.490196078,1
Udupi Ruchi Grand,banashankari,306,17,5,1,49,148,0.331081081,1
Apoorva Multi Cuisine Restaurant,brookefield,1645,12,5,1,220,232,0.948275862,0
The Fresh Factor,koramangala 4th block,2610,17,3,0,124,239,0.518828452,1
Sri's Kitchen,jayanagar,1802,1,5,1,16,296,0.054054054,0
Chord Road Resto-Bar,rajajinagar,502,21,6,1,50,96,0.520833333,0
Amravathi Restaurants & Caterers,"byresandra,tavarekere,madiwala",511,6,0,0,221,258,0.856589147,0
Rajastani Rasoi,jayanagar,105,8,4,0,47,135,0.348148148,1
Q3 Food Corner,new bel road,1786,9,4,0,153,296,0.516891892,1
Caprese - Shangri-La Hotel,lavelle road,572,19,2,0,73,87,0.83908046,1
Once Upon a Rooftop,basavanagudi,2759,22,2,0,173,219,0.789954338,0
Aahara Vihar,malleshwaram,141,20,5,1,225,286,0.786713287,1
MealsTree,brookefield,2587,18,2,0,81,273,0.296703297,1
Hunger Box,marathahalli,396,11,2,0,70,268,0.26119403,0
Keys Cafe - Keys Hotel,electronic city,1717,12,1,0,200,286,0.699300699,0
Kapoor's Biriyani,"byresandra,tavarekere,madiwala",599,22,3,0,139,218,0.637614679,0
Afghani Tandoori Hub,"byresandra,tavarekere,madiwala",308,19,5,1,120,168,0.714285714,1
The Big O Bakes,banashankari,2242,9,2,0,36,111,0.324324324,1
SKS Veg Corner,new bel road,1128,23,4,0,182,298,0.610738255,0
Subzero Korner,basavanagudi,1269,20,3,0,103,105,0.980952381,1
Kabab Nation Corner,brigade road,1374,5,1,0,54,107,0.504672897,0
E - City Combos,electronic city,1598,13,3,0,110,270,0.407407407,0
Airlines Hotel,brigade road,2505,8,6,1,35,236,0.148305085,1
Nati Biriyani Mane,jayanagar,1323,2,6,1,176,270,0.651851852,0
La Brasserie - Le Meridien,lavelle road,2490,17,5,1,11,89,0.123595506,1
Barebones - The Balcony Bar,indiranagar,2395,18,1,0,141,246,0.573170732,1
Cafe Mingo?s,frazer town,2618,1,4,0,115,201,0.572139303,0
Grill Hut,marathahalli,904,15,2,0,118,187,0.631016043,0
Sintales,bellandur,1168,15,6,1,31,88,0.352272727,0
Tastte!!,bannerghatta road,1875,2,1,0,205,251,0.816733068,0
Dhaba Shaba,bellandur,1874,1,1,0,65,290,0.224137931,0
Brewbakes,new bel road,2299,18,4,0,135,183,0.737704918,1
Birinz,bannerghatta road,2043,2,1,0,36,56,0.642857143,0
Cloud Foods,brigade road,1082,1,3,0,81,171,0.473684211,0
Frosty Creams,bannerghatta road,2437,12,3,0,58,120,0.483333333,0
Spicy Punjabi Pharatha,bellandur,2636,19,4,0,200,275,0.727272727,1
Cranganore House,sarjapur road,1569,8,2,0,54,167,0.323353293,1
Village Palace,electronic city,2520,23,6,1,133,288,0.461805556,0
